city,taluka,area
Jalgaon,Jalgaon Central,Fursungi
Amravati,Amravati Central,Udaymandi Phase-2
Pimpri-Chinchwad,Pimpri-Chinchwad Rural,Vijayvihar Residential
Thane,Thane Taluka-3,Akurdi Nagar 2
Navi Mumbai,Navi Mumbai Central,Netajivihar North
Akola,Akola Urban,Kothrud
Wardha,Wardha Taluka-2,Mulund Nagar
Beed,Beed Urban,Vasantpur Central
Latur,Latur Taluka-2,Khar Society
Nanded,Nanded Taluka-2,Netajibasti Residential
Parbhani,Parbhani Urban,Kalyani Nagar Market 4
Raigad,Raigad Urban,Akurdi Market
Ratnagiri,Ratnagiri West,Balewadi Nagar
Sindhudurg,Sindhudurg Taluka-3,Shivaji Nagar Bazar
Palghar,Palghar Urban,Shantibagh North 7
Buldhana,Buldhana South,Vijaymarket Phase-2
Nandurbar,Nandurbar Rural,Lower Parel Bazar
Dhule,Dhule West,Krishnabagh Residential
Jalna,Jalna Central,Gandhilayout Phase-1
Osmanabad,Osmanabad East,Mulund Layout
Hingoli,Hingoli Taluka-3,Lohegaon
Washim,Washim Taluka-3,Dadar Layout
Yavatmal,Yavatmal Urban,Kurla Bazar
Bhandara,Bhandara Central,Netajipeth Phase-2
Gondia,Gondia Taluka-1,Camp Layout
Gadchiroli,Gadchiroli West,Lower Parel Nagar 12
Chandrapur,Chandrapur Taluka-1,Undri Bazar
Bid,Bid East,Pimpri Bazar
Miraj,Miraj Central,Dadar Road
Ichalkaranji,Ichalkaranji Taluka-2,Rajapur Residential
Pandharpur,Pandharpur Taluka-3,Sus Road
Pune,Pune Urban,Undri Bazar
Mumbai,Mumbai Urban,Akurdi Society
Nagpur,Nagpur Taluka-1,Hillgalli Phase-1
Nashik,Nashik South,Prakashpur North
Aurangabad,Aurangabad North,Shivchowk Extension
Kolhapur,Kolhapur South,Kalyani Nagar Road
Solapur,Solapur West,Gayatripeth Phase-1
Sangli,Sangli Central,Netajigaon West
Satara,Satara Central,Shantilayout South
Jalgaon,Jalgaon South,Hillchowk Residential
Amravati,Amravati Taluka-3,Udayvihar Phase-1
Pimpri-Chinchwad,Pimpri-Chinchwad South,Vijayvihar Industrial
Thane,Thane Central,Sagarnagar Extension
Navi Mumbai,Navi Mumbai East,Chinchwad Nagar
Akola,Akola Taluka-2,Kondhwa Road
Wardha,Wardha West,Netajipura North
Beed,Beed Rural,Magarpatta Bazar
Latur,Latur Taluka-1,Ganeshvihar Phase-1
Nanded,Nanded Taluka-2,Shreewadi Residential
Parbhani,Parbhani North,Pimpri 3
Raigad,Raigad Rural,Sainagar Phase-1
Ratnagiri,Ratnagiri Central,Gayatripura Residential
Sindhudurg,Sindhudurg Taluka-1,Lower Parel Colony
Palghar,Palghar South,Bandra Road
Buldhana,Buldhana Urban,Dadar Colony
Nandurbar,Nandurbar Urban,Vijaymandi Phase-1
Dhule,Dhule East,Baner Layout
Jalna,Jalna Taluka-1,Akurdi Bazar
Osmanabad,Osmanabad Central,Krishnawadi Residential 7
Hingoli,Hingoli Taluka-2,Kalyani Nagar Layout
Washim,Washim Taluka-3,Hillpur Extension
Yavatmal,Yavatmal Rural,Rivernagar Industrial
Bhandara,Bhandara East,Kondhwa Bazar
Gondia,Gondia Central,Santcolony Industrial
Gadchiroli,Gadchiroli West,Hillcolony Phase-1
Chandrapur,Chandrapur Taluka-3,Hadapsar Layout
Bid,Bid Central,Camp Road
Miraj,Miraj Taluka-2,Prakashwadi East
Ichalkaranji,Ichalkaranji South,Andheri Colony
Pandharpur,Pandharpur Taluka-3,Undri Road
Pune,Pune Central,Hadapsar Road
Mumbai,Mumbai Rural,Gardenchowk Phase-1
Nagpur,Nagpur West,Pashan
Nashik,Nashik Urban,Bhosari Nagar
Aurangabad,Aurangabad Urban,Baner Bazar
Kolhapur,Kolhapur Central,Kothrud
Solapur,Solapur Rural,Krishnanagar Residential
Sangli,Sangli Urban,Koregaon Park Colony
Satara,Satara Rural,Greenpur Industrial
Jalgaon,Jalgaon Central,Kothrud Colony
Amravati,Amravati East,Worli Nagar
Pimpri-Chinchwad,Pimpri-Chinchwad West,Hinjawadi Bazar
Thane,Thane Taluka-2,Dhayari Market 14
Navi Mumbai,Navi Mumbai North,Rivermandi Industrial
Akola,Akola Taluka-2,Pimpri Market
Wardha,Wardha Taluka-2,Nigdi Colony
Beed,Beed North,Shivbagh Phase-1 4
Latur,Latur Taluka-1,Vasantpura Residential 14
Nanded,Nanded West,Rajabagh Phase-2
Parbhani,Parbhani Rural,Gardenlayout North
Raigad,Raigad Rural,Vile Parle Nagar
Ratnagiri,Ratnagiri Taluka-1,Bandra Bazar 8
Sindhudurg,Sindhudurg Taluka-3,Mulund Society
Palghar,Palghar Taluka-1,Kurla
Buldhana,Buldhana South,Koregaon Park Nagar
Nandurbar,Nandurbar Rural,Shivaji Nagar Layout
Dhule,Dhule East,Kasba Peth Colony
Jalna,Jalna South,Shivgaon Extension
Osmanabad,Osmanabad Rural,Fursungi Market
Hingoli,Hingoli Taluka-3,Sagarpura East
Washim,Washim Taluka-3,Riverwadi Industrial
Yavatmal,Yavatmal West,Shreegaon Phase-1
Bhandara,Bhandara East,Undri
Gondia,Gondia Urban,Udaycolony Central
Gadchiroli,Gadchiroli North,Lower Parel Nagar
Chandrapur,Chandrapur Taluka-3,Juhu Road
Bid,Bid Taluka-2,Vijaygaon South
Miraj,Miraj West,Dhayari
Ichalkaranji,Ichalkaranji Urban,Hillbagh East
Pandharpur,Pandharpur South,Wakad Market
Pune,Pune Urban,Wakad Market 19
Mumbai,Mumbai Urban,Katraj Society
Nagpur,Nagpur Taluka-2,Undri
Nashik,Nashik South,Sus Road
Aurangabad,Aurangabad South,Rajbagh Phase-1
Kolhapur,Kolhapur North,Lakemandi West
Solapur,Solapur Central,Bavdhan Society
Sangli,Sangli North,Hillmarket Phase-1
Satara,Satara North,Shreebagh South
Jalgaon,Jalgaon Rural,Katraj
Amravati,Amravati West,Gayatrinagar Industrial
Pimpri-Chinchwad,Pimpri-Chinchwad West,Narhe
Thane,Thane Taluka-2,Santlayout Central
Navi Mumbai,Navi Mumbai East,Vijaygalli Extension
Akola,Akola East,Manjari Society
Wardha,Wardha Taluka-1,Shantibasti Central
Beed,Beed Urban,Vile Parle Layout 1
Latur,Latur Urban,Ganeshgaon Residential
Nanded,Nanded West,Magarpatta Road 16
Parbhani,Parbhani Taluka-1,Hadapsar Colony
Raigad,Raigad Taluka-3,Juhu Colony
Ratnagiri,Ratnagiri Taluka-1,Shreechowk North
Sindhudurg,Sindhudurg Taluka-1,Vijaypura East 9
Palghar,Palghar Urban,Ambegaon Nagar
Buldhana,Buldhana Taluka-1,Krishnapeth East
Nandurbar,Nandurbar East,Katraj Road
Dhule,Dhule Taluka-2,Bhosari Market
Jalna,Jalna Central,Mulund Colony
Osmanabad,Osmanabad West,Hillchowk Phase-2 2
Hingoli,Hingoli Taluka-3,Andheri Society
Washim,Washim Urban,Yerawada Nagar
Yavatmal,Yavatmal Rural,Balewadi Bazar
Bhandara,Bhandara East,Dhayari Road
Gondia,Gondia Taluka-1,Mulund Colony
Gadchiroli,Gadchiroli Urban,Kharadi Bazar 18
Chandrapur,Chandrapur Taluka-2,Bhosari Nagar 7
Bid,Bid Urban,Nigdi Layout
Miraj,Miraj Taluka-2,Shreemandi South
Ichalkaranji,Ichalkaranji Taluka-1,Gayatribagh East 15
Pandharpur,Pandharpur Taluka-2,Magarpatta 14
Pune,Pune Taluka-2,Bavdhan Nagar
Mumbai,Mumbai Taluka-3,Hadapsar Bazar
Nagpur,Nagpur Taluka-2,Greenwadi Industrial
Nashik,Nashik West,Yerawada Society
Aurangabad,Aurangabad Central,Riverbasti East
Kolhapur,Kolhapur Rural,Kasba Peth Society
Solapur,Solapur Central,Nigdi Society
Sangli,Sangli North,Chembur Market
Satara,Satara Taluka-1,Anandnagar Residential
Jalgaon,Jalgaon Taluka-3,Nigdi Colony 16
Amravati,Amravati West,Kharadi Society
Pimpri-Chinchwad,Pimpri-Chinchwad East,Wakad Society
Thane,Thane Urban,Ambegaon Road
Navi Mumbai,Navi Mumbai South,Greenvihar South
Akola,Akola East,Prakashmandi Industrial
Wardha,Wardha Rural,Shreenagar Industrial
Beed,Beed Rural,Lakechowk North
Latur,Latur Taluka-2,Camp 12
Nanded,Nanded Central,Ghatkopar Bazar
Parbhani,Parbhani Rural,Oldpur Central
Raigad,Raigad West,Katraj Colony
Ratnagiri,Ratnagiri West,Riverlayout North
Sindhudurg,Sindhudurg Taluka-1,Prakashcolony Residential
Palghar,Palghar South,Magarpatta Colony
Buldhana,Buldhana Urban,Ramvihar Residential 16
Nandurbar,Nandurbar West,Ganeshnagar South
Dhule,Dhule Rural,Magarpatta Colony
Jalna,Jalna Taluka-1,Narhe Layout 20
Osmanabad,Osmanabad Taluka-1,Dadar 2
Hingoli,Hingoli Rural,Ramgaon South 6
Washim,Washim Taluka-2,Lohegaon
Yavatmal,Yavatmal West,Juhu Colony
Bhandara,Bhandara East,Shreepeth Extension
Gondia,Gondia Rural,Rammandi North
Gadchiroli,Gadchiroli North,Vijaypur South
Chandrapur,Chandrapur Rural,Koregaon Park Nagar
Bid,Bid Central,Akurdi Road
Miraj,Miraj Taluka-1,Udaylayout South
Ichalkaranji,Ichalkaranji Taluka-1,Rivergalli Residential
Pandharpur,Pandharpur South,Gardenmandi West
Pune,Pune South,Anandpeth Phase-2
Mumbai,Mumbai Taluka-3,Hillgalli South
Nagpur,Nagpur West,Gandhipura Industrial
Nashik,Nashik South,Byculla Society
Aurangabad,Aurangabad South,Ambegaon Society
Kolhapur,Kolhapur Taluka-1,Akurdi Market
Solapur,Solapur Central,Shantinagar Phase-1
Sangli,Sangli Urban,Gandhipura Residential
Satara,Satara Central,Udayvihar Extension
Jalgaon,Jalgaon Taluka-1,Yerawada Bazar
Amravati,Amravati Taluka-2,Worli 15
Pimpri-Chinchwad,Pimpri-Chinchwad Taluka-2,Manjari Market
Thane,Thane Taluka-2,Fursungi Colony
Navi Mumbai,Navi Mumbai Central,Pashan Bazar
Akola,Akola Central,Udaywadi Industrial
Wardha,Wardha North,Dhayari Bazar 8
Beed,Beed Rural,Netajipur Industrial 12
Latur,Latur Taluka-1,Narhe Colony
Nanded,Nanded Taluka-3,Dadar Nagar
Parbhani,Parbhani Urban,Lakewadi Phase-1
Raigad,Raigad West,Anandgalli North
Ratnagiri,Ratnagiri Central,Mulund Bazar
Sindhudurg,Sindhudurg Taluka-1,Undri Colony
Palghar,Palghar Urban,Juhu Road
Buldhana,Buldhana Rural,Kharadi Road
Nandurbar,Nandurbar Taluka-1,Kondhwa Layout
Dhule,Dhule East,Rajcolony Residential 18
Jalna,Jalna Central,Ambegaon Bazar
Osmanabad,Osmanabad North,Shreepur Phase-2
Hingoli,Hingoli Taluka-1,Gandhigaon Central
Washim,Washim East,Udaylayout East
Yavatmal,Yavatmal Urban,Kalyani Nagar Society
Bhandara,Bhandara Taluka-2,Kasba Peth Society
Gondia,Gondia Taluka-3,Pimpri Colony
Gadchiroli,Gadchiroli Taluka-2,Ambegaon Society
Chandrapur,Chandrapur East,Riverpeth Phase-1
Bid,Bid Taluka-2,Pashan Nagar
Miraj,Miraj Taluka-2,Shreebasti East
Ichalkaranji,Ichalkaranji Urban,Rivermarket East
Pandharpur,Pandharpur South,Lohegaon Society 2
Pune,Pune West,Gandhipeth West
Mumbai,Mumbai West,Fursungi Layout
Nagpur,Nagpur South,Katraj Nagar
Nashik,Nashik Central,Shreegaon South
Aurangabad,Aurangabad North,Aundh Society
Kolhapur,Kolhapur South,Rampura Industrial
Solapur,Solapur Urban,Gandhigaon South
Sangli,Sangli East,Ambegaon Nagar 15
Satara,Satara Central,Yerawada Market
Jalgaon,Jalgaon West,Shivpeth Phase-2 12
Amravati,Amravati East,Narhe
Pimpri-Chinchwad,Pimpri-Chinchwad Taluka-1,Prakashchowk Residential
Thane,Thane Taluka-2,Wagholi Layout 11
Navi Mumbai,Navi Mumbai Taluka-2,Pashan Society
Akola,Akola Central,Gayatrigaon Extension
Wardha,Wardha North,FC Road Colony
Beed,Beed Urban,Vijaynagar Industrial
Latur,Latur Taluka-1,Vijaychowk Industrial
Nanded,Nanded Taluka-3,Narhe Road 10
Parbhani,Parbhani West,Ganeshlayout North
Raigad,Raigad Rural,Oldmarket Central
Ratnagiri,Ratnagiri Taluka-2,Greenpeth Phase-2
Sindhudurg,Sindhudurg Taluka-3,Bandra Road
Palghar,Palghar South,Kurla Market
Buldhana,Buldhana Taluka-1,Andheri Colony
Nandurbar,Nandurbar Urban,Magarpatta Road 20
Dhule,Dhule Rural,Lakebasti West
Jalna,Jalna Rural,Balewadi Society
Osmanabad,Osmanabad West,Ganeshmarket South
Hingoli,Hingoli East,Nigdi Road
Washim,Washim Taluka-2,Ambegaon Road
Yavatmal,Yavatmal Rural,Magarpatta Road 5
Bhandara,Bhandara West,Santgaon South
Gondia,Gondia Taluka-3,Pimple Saudagar Colony
Gadchiroli,Gadchiroli East,Nigdi Colony
Chandrapur,Chandrapur Taluka-1,Greenlayout Residential
Bid,Bid Central,Anandlayout East
Miraj,Miraj Taluka-1,Anandnagar Phase-2
Ichalkaranji,Ichalkaranji North,Shantibagh West
Pandharpur,Pandharpur Urban,Wanowrie Market 5
Pune,Pune East,Lohegaon Market
Mumbai,Mumbai Rural,Bhosari Market
Nagpur,Nagpur Taluka-2,Hinjawadi Layout
Nashik,Nashik West,Shantichowk Residential
Aurangabad,Aurangabad Urban,Shreegaon North
Kolhapur,Kolhapur South,Hinjawadi Colony
Solapur,Solapur North,Wagholi Society
Sangli,Sangli North,FC Road Road
Satara,Satara Taluka-1,Vasantbagh Phase-1
Jalgaon,Jalgaon West,Vijaypur Residential
Amravati,Amravati Central,Kondhwa Colony
Pimpri-Chinchwad,Pimpri-Chinchwad South,Narhe Layout
Thane,Thane Urban,Yerawada Market
Navi Mumbai,Navi Mumbai Central,Camp Market
Akola,Akola East,Vasantgaon Central
Wardha,Wardha Taluka-2,Andheri Nagar
Beed,Beed Urban,Gardenbasti Phase-2
Latur,Latur Taluka-2,Vijaybagh North
Nanded,Nanded Taluka-2,Shantibagh East
Parbhani,Parbhani Urban,Colaba 14
Raigad,Raigad Taluka-3,Kondhwa Colony
Ratnagiri,Ratnagiri Taluka-1,Pimple Saudagar Layout
Sindhudurg,Sindhudurg West,Fursungi Market
Palghar,Palghar North,Wakad Society 6
Buldhana,Buldhana North,Mulund Society
Nandurbar,Nandurbar Taluka-2,Lohegaon
Dhule,Dhule Taluka-2,Gardenmarket East
Jalna,Jalna Rural,Bavdhan Market
Osmanabad,Osmanabad Taluka-1,Vile Parle Layout
Hingoli,Hingoli Taluka-3,Shantipur Residential
Washim,Washim Urban,Viman Nagar Bazar
Yavatmal,Yavatmal Rural,Andheri
Bhandara,Bhandara Taluka-3,Colaba Market
Gondia,Gondia Rural,Byculla Market
Gadchiroli,Gadchiroli North,Colaba Colony
Chandrapur,Chandrapur Taluka-3,Udaychowk Central
Bid,Bid East,Bavdhan Colony
Miraj,Miraj West,Lohegaon
Ichalkaranji,Ichalkaranji Taluka-2,Bavdhan
Pandharpur,Pandharpur Taluka-3,Magarpatta Road
Pune,Pune Urban,Greenpura North
Mumbai,Mumbai Rural,Lohegaon Nagar
Nagpur,Nagpur West,Saimarket Extension 12
Nashik,Nashik Central,Santchowk Phase-1
Aurangabad,Aurangabad Taluka-3,Shivmandi Phase-2
Kolhapur,Kolhapur North,Rajmandi Central
Solapur,Solapur Urban,Ganeshpura Phase-2
Sangli,Sangli West,Kasba Peth Bazar
Satara,Satara Taluka-1,Riverchowk East
Jalgaon,Jalgaon South,Akurdi Society
Amravati,Amravati Taluka-3,Vijaygalli South
Pimpri-Chinchwad,Pimpri-Chinchwad Urban,Worli Society
Thane,Thane Urban,Worli Market
Navi Mumbai,Navi Mumbai South,Rivergalli Extension
Akola,Akola Central,Rajbagh Residential 15
Wardha,Wardha Taluka-2,Rambasti East
Beed,Beed North,Shivaji Nagar Nagar
Latur,Latur Urban,Sagarwadi South
Nanded,Nanded South,Rampura Extension
Parbhani,Parbhani Rural,Gardenvihar Industrial
Raigad,Raigad West,Gardenpur South
Ratnagiri,Ratnagiri Taluka-2,Aundh Nagar
Sindhudurg,Sindhudurg Taluka-3,Ghatkopar Nagar
Palghar,Palghar Urban,Udaybasti Industrial
Buldhana,Buldhana Taluka-2,Wagholi Colony
Nandurbar,Nandurbar West,Lohegaon Road
Dhule,Dhule Taluka-2,Sus Layout 1
Jalna,Jalna South,Kothrud Road
Osmanabad,Osmanabad Taluka-2,Oldmarket North
Hingoli,Hingoli Taluka-1,Bhosari Nagar
Washim,Washim East,Kasba Peth Road
Yavatmal,Yavatmal Taluka-3,Worli Nagar
Bhandara,Bhandara Taluka-3,Riverpeth Extension
Gondia,Gondia Taluka-1,Lohegaon
Gadchiroli,Gadchiroli Central,Bandra Layout
Chandrapur,Chandrapur Taluka-3,Koregaon Park Layout 2
Bid,Bid Urban,Baner Society
Miraj,Miraj Central,Rammandi Phase-1
Ichalkaranji,Ichalkaranji Central,Newpeth Industrial
Pandharpur,Pandharpur Taluka-3,Byculla Society
Pune,Pune West,Rajapura East
Mumbai,Mumbai Taluka-3,Lower Parel Society
Nagpur,Nagpur Taluka-2,Sus Road 4
Nashik,Nashik South,Netajipeth East
Aurangabad,Aurangabad North,Shivmarket Industrial
Kolhapur,Kolhapur North,Pashan Nagar
Solapur,Solapur Taluka-1,Bandra Colony 12
Sangli,Sangli East,Juhu Nagar
Satara,Satara South,Narhe Road
Jalgaon,Jalgaon Taluka-3,Kasba Peth Road 18
Amravati,Amravati Taluka-2,Anandchowk South
Pimpri-Chinchwad,Pimpri-Chinchwad South,Bavdhan Colony 17
Thane,Thane Urban,Hinjawadi Market
Navi Mumbai,Navi Mumbai Taluka-2,Undri Road 20
Akola,Akola Central,Sus Bazar
Wardha,Wardha West,Greennagar Residential
Beed,Beed Central,FC Road Society
Latur,Latur Urban,Worli Market
Nanded,Nanded South,Krishnapura Residential 11
Parbhani,Parbhani Taluka-2,Katraj Layout
Raigad,Raigad Urban,Byculla Nagar 13
Ratnagiri,Ratnagiri Taluka-2,Borivali
Sindhudurg,Sindhudurg Taluka-3,Shantibasti Central 19
Palghar,Palghar Urban,Lower Parel Layout
Buldhana,Buldhana Taluka-1,Chembur Nagar
Nandurbar,Nandurbar East,Camp Bazar
Dhule,Dhule Taluka-1,Prakashmandi East
Jalna,Jalna Taluka-1,Ambegaon Bazar
Osmanabad,Osmanabad East,Gardenpur North 8
Hingoli,Hingoli Rural,Vasantpura Residential
Washim,Washim Taluka-3,Katraj Road 5
Yavatmal,Yavatmal Urban,Kothrud Bazar
Bhandara,Bhandara Taluka-2,Yerawada
Gondia,Gondia Rural,Kasba Peth
Gadchiroli,Gadchiroli Urban,Kalyani Nagar Bazar 14
Chandrapur,Chandrapur Central,Bandra Colony
Bid,Bid Taluka-2,Narhe Bazar
Miraj,Miraj Central,Kasba Peth Road
Ichalkaranji,Ichalkaranji Central,Hinjawadi Road
Pandharpur,Pandharpur North,Santlayout Residential
Pune,Pune Urban,Lohegaon Market
Mumbai,Mumbai Urban,Sainagar North
Nagpur,Nagpur West,Juhu Society
Nashik,Nashik East,Narhe Road
Aurangabad,Aurangabad North,Pimple Saudagar Road
Kolhapur,Kolhapur South,Oldpura Industrial
Solapur,Solapur North,Greencolony Residential
Sangli,Sangli East,Kasba Peth Layout
Satara,Satara South,Koregaon Park Market 5
Jalgaon,Jalgaon Taluka-3,Undri Bazar
Amravati,Amravati Taluka-2,Lower Parel Colony
Pimpri-Chinchwad,Pimpri-Chinchwad West,Shreepeth Industrial
Thane,Thane Taluka-1,Hillnagar Residential 17
Navi Mumbai,Navi Mumbai Taluka-2,Ramlayout Extension
Akola,Akola East,Shantipeth North
Wardha,Wardha Taluka-1,Hadapsar Road
Beed,Beed North,Anandgaon Central 3
Latur,Latur East,Aundh Layout
Nanded,Nanded South,Sagarcolony Industrial
Parbhani,Parbhani West,Gandhiwadi Extension
Raigad,Raigad Urban,Ganeshbagh West
Ratnagiri,Ratnagiri Taluka-2,Nigdi Bazar
Sindhudurg,Sindhudurg Taluka-3,Rajapura Industrial
Palghar,Palghar South,Baner
Buldhana,Buldhana South,Hadapsar Market
Nandurbar,Nandurbar West,Bhosari Layout
Dhule,Dhule Rural,Newbasti Extension
Jalna,Jalna Taluka-1,Shreecolony West 11
Osmanabad,Osmanabad East,Riverwadi Residential
Hingoli,Hingoli Rural,Rivercolony Phase-2
Washim,Washim Taluka-2,Fursungi Society
Yavatmal,Yavatmal South,Vile Parle Road
Bhandara,Bhandara Taluka-3,Mulund Colony 3
Gondia,Gondia Central,Ganeshnagar Central
Gadchiroli,Gadchiroli Taluka-2,Shreechowk East
Chandrapur,Chandrapur Taluka-2,Krishnamarket Industrial
Bid,Bid Urban,Lohegaon Nagar
Miraj,Miraj Taluka-1,Santbagh Phase-1
Ichalkaranji,Ichalkaranji South,Shivwadi Extension
Pandharpur,Pandharpur Taluka-2,Undri
Pune,Pune Taluka-3,Juhu Society
Mumbai,Mumbai Taluka-2,Gayatripur South
Nagpur,Nagpur West,Chinchwad Layout
Nashik,Nashik Urban,Lower Parel Layout
Aurangabad,Aurangabad Urban,FC Road Road
Kolhapur,Kolhapur Taluka-3,Kasba Peth Layout
Solapur,Solapur Central,Pimple Saudagar Market
Sangli,Sangli West,Vijaychowk Central
Satara,Satara Central,Colaba Layout
Jalgaon,Jalgaon West,Gandhigalli Phase-2
Amravati,Amravati West,Dhayari Road
Pimpri-Chinchwad,Pimpri-Chinchwad North,Nigdi Bazar
Thane,Thane Taluka-2,FC Road Market
Navi Mumbai,Navi Mumbai Rural,Shivaji Nagar Colony
Akola,Akola Central,Wanowrie Market
Wardha,Wardha Taluka-1,Ambegaon Road
Beed,Beed North,Bandra Nagar
Latur,Latur Taluka-2,Gardencolony North
Nanded,Nanded Central,Newbagh North
Parbhani,Parbhani North,Prakashbagh Residential
Raigad,Raigad Taluka-3,Borivali Bazar
Ratnagiri,Ratnagiri West,Riverbasti South
Sindhudurg,Sindhudurg South,Vile Parle Bazar
Palghar,Palghar South,Bandra Road
Buldhana,Buldhana North,Viman Nagar Road
Nandurbar,Nandurbar Taluka-2,Juhu Nagar 8
Dhule,Dhule East,Wanowrie Nagar
Jalna,Jalna Central,Kasba Peth Road
Osmanabad,Osmanabad Taluka-1,Wakad Bazar
Hingoli,Hingoli Taluka-1,Dadar Society
Washim,Washim Taluka-3,Anandgalli Industrial
Yavatmal,Yavatmal Taluka-3,Shreepur South
Bhandara,Bhandara East,Kondhwa Layout
Gondia,Gondia Urban,Netajipeth Central
Gadchiroli,Gadchiroli North,Lower Parel 9
Chandrapur,Chandrapur Central,Oldmarket Central
Bid,Bid Central,Baner Road
Miraj,Miraj West,Borivali Layout
Ichalkaranji,Ichalkaranji Central,Kothrud Nagar
Pandharpur,Pandharpur Taluka-2,Akurdi Colony 19
Pune,Pune Central,Shreewadi East
Mumbai,Mumbai West,Prakashbagh Industrial
Nagpur,Nagpur Taluka-1,Byculla Society
Nashik,Nashik Rural,Shreemarket North
Aurangabad,Aurangabad Taluka-3,Kothrud
Kolhapur,Kolhapur North,Yerawada Layout
Solapur,Solapur Central,Worli Nagar
Sangli,Sangli East,Pimpri Colony
Satara,Satara South,Viman Nagar Nagar
Jalgaon,Jalgaon Central,FC Road Society
Amravati,Amravati East,Hinjawadi Bazar
Pimpri-Chinchwad,Pimpri-Chinchwad Taluka-1,Balewadi Colony
Thane,Thane South,Hadapsar Road 9
Navi Mumbai,Navi Mumbai South,Vasantbasti Residential
Akola,Akola East,Shivaji Nagar Market 18
Wardha,Wardha Taluka-1,Katraj Nagar 13
Beed,Beed Rural,Nigdi
Latur,Latur Taluka-1,Saibagh North
Nanded,Nanded Central,Colaba Colony
Parbhani,Parbhani West,Juhu Society
Raigad,Raigad North,Baner Road 11
Ratnagiri,Ratnagiri West,Koregaon Park Layout
Sindhudurg,Sindhudurg Taluka-3,Worli Colony
Palghar,Palghar Taluka-1,FC Road Road
Buldhana,Buldhana North,Shivbagh North
Nandurbar,Nandurbar Taluka-1,Shivnagar Extension 20
Dhule,Dhule Urban,Shivcolony Residential
Jalna,Jalna Rural,Rajabagh Phase-1
Osmanabad,Osmanabad Taluka-1,FC Road Nagar
Hingoli,Hingoli Taluka-1,Shivbasti Extension
Washim,Washim Urban,Rajmarket Residential
Yavatmal,Yavatmal West,Khar Layout
Bhandara,Bhandara Taluka-3,Kurla Bazar
Gondia,Gondia Rural,Prakashpeth Extension
Gadchiroli,Gadchiroli North,Shreewadi Phase-2 7
Chandrapur,Chandrapur Central,Lakenagar West
Bid,Bid Central,Rajbasti Residential
Miraj,Miraj Taluka-1,Baner Layout
Ichalkaranji,Ichalkaranji Urban,Yerawada Market
Pandharpur,Pandharpur East,Narhe Society
Pune,Pune South,Hinjawadi Nagar
Mumbai,Mumbai Taluka-2,Manjari Society
Nagpur,Nagpur Taluka-1,Manjari Colony
Nashik,Nashik Central,Camp Society 4
Aurangabad,Aurangabad South,Prakashmarket Extension
Kolhapur,Kolhapur Central,Santpur West
Solapur,Solapur Urban,Magarpatta Layout
Sangli,Sangli West,Dadar Colony
Satara,Satara South,Pimpri
Jalgaon,Jalgaon North,Worli Colony
Amravati,Amravati West,Khar Road
Pimpri-Chinchwad,Pimpri-Chinchwad Taluka-3,Chembur Market 3
Thane,Thane Taluka-2,Kondhwa Bazar
Navi Mumbai,Navi Mumbai Urban,Shantibagh Phase-2
Akola,Akola East,Newgalli Phase-1 3
Wardha,Wardha Taluka-3,Byculla Market
Beed,Beed West,Hillnagar Residential 6
Latur,Latur East,Colaba Nagar
Nanded,Nanded Taluka-3,Koregaon Park Market
Parbhani,Parbhani Taluka-1,Shantibagh East
Raigad,Raigad Urban,Ganeshchowk Extension
Ratnagiri,Ratnagiri Central,Hinjawadi Market
Sindhudurg,Sindhudurg Taluka-3,Ghatkopar Market
Palghar,Palghar South,Mulund Colony
Buldhana,Buldhana East,Hillcolony Industrial
Nandurbar,Nandurbar Central,Kondhwa Layout
Dhule,Dhule East,Nigdi
Jalna,Jalna South,Hillbasti Extension
Osmanabad,Osmanabad Taluka-2,Greenpur Central 5
Hingoli,Hingoli Taluka-2,Manjari Market
Washim,Washim East,Rajpeth Central
Yavatmal,Yavatmal Taluka-3,FC Road Layout
Bhandara,Bhandara Taluka-3,Magarpatta Market
Gondia,Gondia Taluka-3,Mulund Society 18
Gadchiroli,Gadchiroli Central,Undri Market 1
Chandrapur,Chandrapur East,Shreemandi Residential
Bid,Bid Taluka-2,Udaygalli Phase-1
Miraj,Miraj North,Dadar Nagar
Ichalkaranji,Ichalkaranji South,Viman Nagar Road
Pandharpur,Pandharpur East,Borivali
Pune,Pune Taluka-2,Newgalli North
Mumbai,Mumbai Urban,Magarpatta Market
Nagpur,Nagpur South,Aundh Society
Nashik,Nashik North,Undri Road
Aurangabad,Aurangabad Central,Bandra Layout
Kolhapur,Kolhapur Taluka-2,Shreegaon South
Solapur,Solapur South,Rajvihar Industrial 19
Sangli,Sangli Taluka-3,Bavdhan Road
Satara,Satara North,Pimple Saudagar Colony
Jalgaon,Jalgaon Taluka-1,Anandpura North 9
Amravati,Amravati West,Rajpur Residential
Pimpri-Chinchwad,Pimpri-Chinchwad Urban,Kothrud Layout
Thane,Thane Taluka-1,Gardenmandi Residential
Navi Mumbai,Navi Mumbai North,Hadapsar Nagar
Akola,Akola Urban,Wagholi Bazar
Wardha,Wardha Taluka-1,Gardennagar Phase-1
Beed,Beed West,Oldwadi East
Latur,Latur Urban,Baner Colony 15
Nanded,Nanded West,Hinjawadi Society
Parbhani,Parbhani Taluka-2,Netajimandi Phase-1
